pracodawca ma prawo zwolnić pracownika  jeżeli ten nie spełnia jego oczekiwań  nawet jeśli pracownik nie narusza warunków zawartych w umowie o pracę
Grupa ,18-23 lat, = ,2, - zdecydowanie zgadzam się,-,13.33,%
Grupa ,18-23 lat, = ,3, - raczej się nie zgadzam,-,20.00,%
Grupa ,18-23 lat, = ,4, - raczej zgadzam się,-,26.67,%
Grupa ,18-23 lat, = ,4, - trudno powiedzieć,-,26.67,%
Liczba respondentów = ,15
