oczekiwania pracownika wobec pracodawcy są tak samo ważne jak warunki opisane w umowie o pracę
Grupa ,40-55 lat, = ,18, - zdecydowanie zgadzam się,-,48.65,%
Grupa ,40-55 lat, = ,2, - raczej się nie zgadzam,-,5.41,%
Grupa ,40-55 lat, = ,14, - raczej zgadzam się,-,37.84,%
Grupa ,40-55 lat, = ,3, - trudno powiedzieć,-,8.11,%
Liczba respondentów = ,37
