oczekiwania pracownika wobec pracodawcy są tak samo ważne jak warunki opisane w umowie o pracę
Grupa ,18-23 lat, = ,7, - zdecydowanie zgadzam się,-,46.67,%
Grupa ,18-23 lat, = ,0, - raczej się nie zgadzam,-,0.00,%
Grupa ,18-23 lat, = ,6, - raczej zgadzam się,-,40.00,%
Grupa ,18-23 lat, = ,2, - trudno powiedzieć,-,13.33,%
Liczba respondentów = ,15
