oczekiwania pracownika wobec pracodawcy są tak samo ważne jak warunki opisane w umowie o pracę
Grupa ,24-39 lat, = ,25, - zdecydowanie zgadzam się,-,59.52,%
Grupa ,24-39 lat, = ,0, - raczej się nie zgadzam,-,0.00,%
Grupa ,24-39 lat, = ,13, - raczej zgadzam się,-,30.95,%
Grupa ,24-39 lat, = ,4, - trudno powiedzieć,-,9.52,%
Liczba respondentów = ,42
