oczekiwania pracownika wobec pracodawcy s¹ tak samo wa¿ne jak warunki opisane w umowie o pracê
Grupa ,40-55 lat, = ,18, - zdecydowanie zgadzam siê,-,48.65,%
Grupa ,40-55 lat, = ,2, - raczej siê nie zgadzam,-,5.41,%
Grupa ,40-55 lat, = ,14, - raczej zgadzam siê,-,37.84,%
Grupa ,40-55 lat, = ,3, - trudno powiedzieæ,-,8.11,%
Liczba respondentów = ,37
