pracodawca ma prawo zwolniæ pracownika  je¿eli ten nie spe³nia jego oczekiwañ  nawet jeœli pracownik nie narusza warunków zawartych w umowie o pracê
Grupa ,18-23 lat, = ,2, - zdecydowanie zgadzam siê,-,13.33,%
Grupa ,18-23 lat, = ,3, - raczej siê nie zgadzam,-,20.00,%
Grupa ,18-23 lat, = ,4, - raczej zgadzam siê,-,26.67,%
Grupa ,18-23 lat, = ,4, - trudno powiedzieæ,-,26.67,%
Liczba respondentów = ,15
