oczekiwania pracownika wobec pracodawcy s¹ tak samo wa¿ne jak warunki opisane w umowie o pracê
Grupa ,18-23 lat, = ,7, - zdecydowanie zgadzam siê,-,46.67,%
Grupa ,18-23 lat, = ,0, - raczej siê nie zgadzam,-,0.00,%
Grupa ,18-23 lat, = ,6, - raczej zgadzam siê,-,40.00,%
Grupa ,18-23 lat, = ,2, - trudno powiedzieæ,-,13.33,%
Liczba respondentów = ,15
