dbałości o klimat sprzyjający zadowoleniu z pracy
Grupa ,40-55 lat, = ,10, - zdecydowanie tak,-,27.03,%
Grupa ,40-55 lat, = ,5, - raczej nie,-,13.51,%
Grupa ,40-55 lat, = ,13, - raczej tak,-,35.14,%
Grupa ,40-55 lat, = ,9, - trudno powiedzieć,-,24.32,%
Grupa ,40-55 lat, = ,0, - zdecydowanie nie,-,0.00,%
Liczba respondentów = ,37
