możliwości udziału w szkoleniach podnoszących kwalifikacje i kompetencje na zajmowanym stanowisku
Grupa ,24-39 lat, = ,5, - zdecydowanie tak,-,11.90,%
Grupa ,24-39 lat, = ,13, - raczej nie,-,30.95,%
Grupa ,24-39 lat, = ,8, - raczej tak,-,19.05,%
Grupa ,24-39 lat, = ,15, - trudno powiedzieć,-,35.71,%
Grupa ,24-39 lat, = ,1, - zdecydowanie nie,-,2.38,%
Liczba respondentów = ,42
