szacunku i poszanowania godności
Grupa ,18-23 lat, = ,8, - zdecydowanie tak,-,53.33,%
Grupa ,18-23 lat, = ,0, - raczej nie,-,0.00,%
Grupa ,18-23 lat, = ,6, - raczej tak,-,40.00,%
Grupa ,18-23 lat, = ,1, - trudno powiedzieć,-,6.67,%
Grupa ,18-23 lat, = ,0, - zdecydowanie nie,-,0.00,%
Liczba respondentów = ,15
