możliwości udziału w szkoleniach podnoszących kwalifikacje i kompetencje na zajmowanym stanowisku
Grupa ,18-23 lat, = ,2, - zdecydowanie tak,-,13.33,%
Grupa ,18-23 lat, = ,2, - raczej nie,-,13.33,%
Grupa ,18-23 lat, = ,3, - raczej tak,-,20.00,%
Grupa ,18-23 lat, = ,6, - trudno powiedzieć,-,40.00,%
Grupa ,18-23 lat, = ,2, - zdecydowanie nie,-,13.33,%
Liczba respondentów = ,15
