narzędzie niezbędne do wykonywania pracy i właściwe warunki bhp
Grupa ,24-39 lat, = ,37, - bardzo ważne,-,88.10,%
Grupa ,24-39 lat, = ,0, - raczej nieważne,-,0.00,%
Grupa ,24-39 lat, = ,4, - raczej ważne,-,9.52,%
Grupa ,24-39 lat, = ,1, - trudno powiedzieć,-,2.38,%
Grupa ,24-39 lat, = ,0, - zdecydowanie nieważne,-,0.0,%
Liczba respondentów = ,42
