narzędzie niezbędne do wykonywania pracy i właściwe warunki bhp
Grupa ,40-55 lat, = ,35, - bardzo ważne,-,94.59,%
Grupa ,40-55 lat, = ,0, - raczej nieważne,-,0.00,%
Grupa ,40-55 lat, = ,2, - raczej ważne,-,5.41,%
Grupa ,40-55 lat, = ,0, - trudno powiedzieć,-,0.00,%
Grupa ,40-55 lat, = ,0, - zdecydowanie nieważne,-,0.0,%
Liczba respondentów = ,37
