narzędzie niezbędne do wykonywania pracy i właściwe warunki bhp
Grupa ,18-23 lat, = ,12, - bardzo ważne,-,80.00,%
Grupa ,18-23 lat, = ,0, - raczej nieważne,-,0.00,%
Grupa ,18-23 lat, = ,2, - raczej ważne,-,13.33,%
Grupa ,18-23 lat, = ,1, - trudno powiedzieć,-,6.67,%
Grupa ,18-23 lat, = ,0, - zdecydowanie nieważne,-,0.0,%
Liczba respondentów = ,15
